input_ensembl_transcript_id,symbol,ensembl_gene_id,entrez_id,hgnc_id,refseq_id,uniprot_id
ENST00000269305,TP53,ENSG00000141510,7157,HGNC:11998,,
ENST00000357654,BRCA1,ENSG00000012048,672,HGNC:1100,,
ENST00000380152,BRCA2,ENSG00000139618,675,HGNC:1101,,
ENST00000275493,EGFR,ENSG00000146648,1956,HGNC:3236,,
ENST00000259523,,,,,,
ENST00000311936,KRAS,ENSG00000133703,3845,HGNC:6407,,
ENST00000263967,PIK3CA,ENSG00000121879,5290,HGNC:8975,,
ENST00000257430,APC,ENSG00000134982,324,HGNC:583,,
ENST00000371953,PTEN,ENSG00000171862,5728,HGNC:9588,,
ENST00000267750,EMC4,ENSG00000128463,51234,HGNC:28032,,
ENST00000311032,,,,,,
ENST00000231790,MLH1,ENSG00000076242,4292,HGNC:7127,,
ENST00000233146,MSH2,ENSG00000095002,4436,HGNC:7325,,
ENST00000278616,,,,,,
ENST00000382580,,,,,,
ENST00000261584,PALB2,ENSG00000083093,79728,HGNC:26144,,
ENST00000070846,,,,,,
ENST00000326873,STK11,ENSG00000118046,6794,HGNC:11389,,
ENST00000265963,GTF2H1,ENSG00000110768,2965,HGNC:4655,,
ENST00000356175,,,,,,
ENST00000380998,,,,,,
ENST00000338477,,,,,,
ENST00000545858,,,,,,
ENST00000304494,CDKN2A,ENSG00000147889,1029,HGNC:1787,,
ENST00000274335,,,,,,
ENST00000269571,ERBB2,ENSG00000141736,2064,HGNC:3430,,
ENST00000278175,ADM,ENSG00000148926,133,HGNC:259,,
ENST00000355710,RET,ENSG00000165731,5979,HGNC:9967,,
ENST00000318493,,,,,,
ENST00000393445,,,,,,
ENST00000646891,BRAF,ENSG00000157764,673,HGNC:1097,,
ENST00000359597,,,,,,
ENST00000292408,FGFR4,ENSG00000160867,2264,HGNC:3691,,
ENST00000286355,ADCY8,ENSG00000155897,114,HGNC:239,,
ENST00000371067,,,,,,
ENST00000297135,COG5,ENSG00000164597,10466,HGNC:14857,,
ENST00000277541,,,,,,
ENST00000348159,MEF2D,ENSG00000116604,4209,HGNC:6997,,
ENST00000356142,,,,,,
ENST00000295754,TGFBR2,ENSG00000163513,7048,HGNC:11773,,
ENST00000256078,,,,,,
ENST00000355349,MYH7,ENSG00000092054,4625,HGNC:7577,,
ENST00000374003,,,,,,
ENST00000372839,,,,,,
ENST00000373020,TSPAN6,ENSG00000000003,7105,HGNC:11858,,
ENST00000361021,,,,,,
ENST00000368300,LMNA,ENSG00000160789,4000,HGNC:6636,,
ENST00000295685,,,,,,
ENST00000374090,,,,,,
ENST00000361390,,,,,,
ENST00000373031,TNMD,ENSG00000000005,64102,HGNC:17757,,
ENST00000361739,,,,,,
ENST00000362079,,,,,,
ENST00000361555,,,,,,
ENST00000369026,MCL1,ENSG00000143384,4170,HGNC:6943,,
ENST00000317432,,,,,,
ENST00000396184,,,,,,
