symbol,entrez_id
TP53,7157
BRCA1,672
BRCA2,675
EGFR,1956
MYC,4609
KRAS,3845
PIK3CA,5290
APC,324
PTEN,5728
RB1,5925
VHL,7428
MLH1,4292
MSH2,4436
ATM,472
CHEK2,11200
PALB2,79728
CDH1,999
STK11,6794
SMAD4,4089
DCC,1630
NF1,4763
NF2,4771
TSC1,7248
TSC2,7249
CDKN2A,1029
MDM2,4193
ERBB2,2064
ALK,238
RET,5979
MET,4233
FGFR1,2260
FGFR2,2263
FGFR3,2261
PDGFRA,5156
KIT,3815
FLT3,2322
JAK2,3717
NOTCH1,4851
CTNNB1,1499
ARID1A,8289
PIK3R1,5295
FBXW7,55294
NRAS,4893
HRAS,3265
BRAF,673
MAPK1,5594
MAPK3,5595
AKT1,207
AKT2,208
GAPDH,2597
ACTB,60
TUBB,203068
YWHAZ,7534
B2M,567
HPRT1,3251
TBP,6908
GUSB,2990
PGK1,5230
RPLP0,6175
RPL13A,23521
SDHA,6389
UBC,7316
CYC1,1537
EIF4A2,1974
PPIA,5478
RPL32,6161
HMBS,3145
TFRC,7037
TOP1,7150
ABCB1,5243
ABCC1,4363
ABCG2,9429
CYP1A1,1543
CYP1A2,1544
CYP2C9,1559
CYP2C19,1557
CYP2D6,1565
CYP3A4,1576
UGT1A1,54658
GSTP1,2950
GSTM1,2944
GSTT1,2952
DPYD,1806
TPMT,7172
COMT,1312
MTHFR,4524
TYMS,7298
ERCC1,2067
XRCC1,7515
CD19,930
CD20,27074
CD3E,916
CD4,920
CD8A,925
FOXP3,50943
IL2,3558
IL10,3586
TNF,7124
IFNG,3458
VEGFA,7422
INS,3630
